10,10,6.8,200401010212
11,4,219.4,200401010212
12,7,75.8,200401010212
1,2,3.3,200401010301
2,1,6.0,200401010301
3,4,3.4,200401010301
4,3,12.4,200401010301
5,7,22.8,200401010301
6,12,96.3,200401010301
7,13,17.5,200401010301
8,5,241.7,200401010301
9,8,8.3,200401010301
10,6,226.6,200401010301
11,11,10.8,200401010301
12,10,12.7,200401010301
13,9,250.4,200401010301
1,8,6.2,200401010302
2,10,1.4,200401010302
3,13,4.3,200401010302
4,5,82.0,200401010302
5,3,63.3,200401010302
6,6,111.0,200401010302
7,11,17.0,200401010302
8,9,63.3,200401010302
9,1,89.1,200401010302
10,12,162.9,200401010302
11,2,23.1,200401010302
12,7,129.4,200401010302
13,4,242.3,200401010302
1,11,23.8,200401010303
2,7,2.5,200401010303
3,9,36.9,200401010303
4,6,4.6,200401010303
5,13,3.5,200401010303
6,5,47.5,200401010303
7,8,59.4,200401010303
8,4,109.3,200401010303
9,10,170.5,200401010303
10,15,31.0,200401010303
11,3,44.9,200401010303
12,12,107.7,200401010303
13,16,122.5,200401010303
14,14,155.2,200401010303
15,1,6.0,200401010303
16,2,188.2,200401010303
1,11,1.7,200401010304
2,6,14.1,200401010304
3,3,43.3,200401010304
4,13,33.7,200401010304
5,2,235.7,200401010304
6,8,75.3,200401010304
7,15,252.0,200401010304
8,9,185.8,200401010304
9,14,8.0,200401010304
10,12,3.0,200401010304
11,1,65.0,200401010304
12,5,250.1,200401010304
13,7,48.9,200401010304
14,10,160.4,200401010304
15,4,97.5,200401010304
1,13,20.7,200401010305
2,2,2.7,200401010305
3,5,16.0,200401010305
4,4,31.4,200401010305
5,10,2.5,200401010305
6,7,7.7,200401010305
7,11,164.8,200401010305
8,6,65.0,200401010305
9,9,35.1,200401010305
10,12,41.7,200401010305
11,3,44.7,200401010305
12,1,10.6,200401010305
13,8,29.8,200401010305
1,7,6.8,200401010306
2,2,16.8,200401010306
3,5,3.0,200401010306
4,1,4.2,200401010306
5,6,43.7,200401010306
6,10,6.5,200401010306
7,4,10.3,200401010306
8,3,192.0,200401010306
9,11,163.7,200401010306
10,14,50.5,200401010306
11,12,81.4,200401010306
12,8,421.4,200401010306
13,13,6.8,200401010306
14,9,28.7,200401010306
1,5,2.0,200401010307
2,8,9.2,200401010307
3,2,21.6,200401010307
4,3,65.2,200401010307
5,12,32.4,200401010307
6,4,9.3,200401010307
7,6,23.0,200401010307
8,1,26.4,200401010307
9,7,19.1,200401010307
10,9,57.7,200401010307
11,13,162.1,200401010307
12,10,4.2,200401010307
13,11,17.8,200401010307
1,3,31.2,200401010308
2,7,36.2,200401010308
3,2,4.2,200401010308
4,5,1.7,200401010308
5,12,17.9,200401010308
